epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9582,0.95119,3.49382,1.45766,0.04348,0.68889,0.16914,0.13447,0.70624,3.50946,1.39631,0.00015554,0.00015554,0.00015554
2,14.7093,0.76426,3.19237,1.34205,0.03198,0.91111,0.26156,0.20319,0.82647,3.49776,1.47003,0.000315811,0.000315811,0.000315811
3,21.6292,0.76402,2.90945,1.33324,0.01106,0.94444,0.3231,0.25532,0.76361,3.37011,1.44789,0.000469482,0.000469482,0.000469482
4,26.7171,0.93443,2.75326,1.44856,0.19668,0.74762,0.32355,0.21223,1.46601,3.40857,2.13189,0.000616554,0.000616554,0.000616554
5,32.896,0.9614,2.4673,1.47189,0.43167,0.19358,0.35996,0.202,1.68586,3.21072,2.33061,0.000757027,0.000757027,0.000757027
6,38.4871,0.96384,2.27015,1.46492,0.44602,0.59556,0.59347,0.35665,1.23468,2.57171,1.93664,0.0008909,0.0008909,0.0008909
7,43.2405,0.93538,2.13222,1.45774,0.54482,0.66256,0.59806,0.35519,1.07034,2.50805,1.87356,0.000979013,0.000979013,0.000979013
8,49.5919,0.96084,2.00663,1.46999,0.65596,0.69111,0.64107,0.41585,1.38565,2.31909,2.55591,0.000957015,0.000957015,0.000957015
9,54.7725,1.04568,2.10322,1.49624,0.48496,0.60543,0.53914,0.3625,1.13059,2.22449,2.01752,0.000935018,0.000935018,0.000935018
10,59.6445,0.99863,1.86855,1.51214,0.43186,0.54594,0.46886,0.24309,1.69855,2.64749,3.15938,0.00091302,0.00091302,0.00091302
11,66.2318,0.8981,1.78294,1.39259,0.35878,0.68421,0.43637,0.25304,1.34981,2.55039,2.14128,0.000891022,0.000891022,0.000891022
12,71.2062,0.89568,1.78239,1.40144,0.45825,0.58919,0.57138,0.31381,1.40189,2.13844,2.23719,0.000869024,0.000869024,0.000869024
13,77.598,0.92069,1.74895,1.42035,0.484,0.75422,0.65408,0.41645,1.16377,2.13181,2.02039,0.000847026,0.000847026,0.000847026
14,82.4992,0.89613,1.81622,1.43047,0.64761,0.56613,0.59686,0.37124,1.14313,1.94829,2.01122,0.000825029,0.000825029,0.000825029
